Threshold,Total Cost,FN,FP
0.05,8871500,8,17663
0.1,8783000,22,17346
0.15000000000000002,8629000,43,16828
0.2,8438500,80,16077
0.25,8336500,171,14963
0.3,8212500,295,13475
0.35000000000000003,8135500,456,11711
0.4,7925000,610,9750
0.45,8049500,816,7939
0.5,8147500,1004,6255
0.55,8598500,1242,4777
0.6000000000000001,9059000,1466,3458
0.6500000000000001,9514000,1680,2228
0.7000000000000001,10175000,1911,1240
0.7500000000000001,10662000,2068,644
0.8,11073000,2183,316
0.8500000000000001,11338000,2255,126
0.9000000000000001,11594500,2316,29
